COUNTY,2012_NEW_HOMES,2013_NEW_HOMES,2014_NEW_HOMES,2015_NEW_HOMES,2016_NEW_HOMES,2017_NEW_HOMES,2018_NEW_HOMES,2019_NEW_HOMES,2020_NEW_HOMES,2021_NEW_HOMES,2022_NEW_HOMES,2023_NEW_HOMES,Unnamed: 13_x,2012_NEW_HOMES,2013_NEW_HOMES,2014_NEW_HOMES,2015_NEW_HOMES,2016_NEW_HOMES,2017_NEW_HOMES,2018_NEW_HOMES,2019_NEW_HOMES,2020_NEW_HOMES,2021_NEW_HOMES,2022_NEW_HOMES,2023_NEW_HOMES,2012_EXISTING_HOMES,2013_EXISTING_HOMES,2014_EXISTING_HOMES,2015_EXISTING_HOMES,2016_EXISTING_HOMES,2017_EXISTING_HOMES,2018_EXISTING_HOMES,2019_EXISTING_HOMES,2020_EXISTING_HOMES,2021_EXISTING_HOMES,2022_EXISTING_HOMES,2023_EXISTING_HOMES,Unnamed: 13_y,2012_EXISTING_HOMES,2013_EXISTING_HOMES,2014_EXISTING_HOMES,2015_EXISTING_HOMES,2016_EXISTING_HOMES,2017_EXISTING_HOMES,2018_EXISTING_HOMES,2019_EXISTING_HOMES,2020_EXISTING_HOMES,2021_EXISTING_HOMES,2022_EXISTING_HOMES,2023_EXISTING_HOMES,OBJECTID,GEOID,STATE,COUNTY_CODE,STUSAB,STATE_NAME,ALL_PERMITS_1980,ALL_PERMITS_1981,ALL_PERMITS_1982,ALL_PERMITS_1983,ALL_PERMITS_1984,ALL_PERMITS_1985,ALL_PERMITS_1986,ALL_PERMITS_1987,ALL_PERMITS_1988,ALL_PERMITS_1989,ALL_PERMITS_1990,ALL_PERMITS_1991,ALL_PERMITS_1992,ALL_PERMITS_1993,ALL_PERMITS_1994,ALL_PERMITS_1995,ALL_PERMITS_1996,ALL_PERMITS_1997,ALL_PERMITS_1998,ALL_PERMITS_1999,ALL_PERMITS_2000,ALL_PERMITS_2001,ALL_PERMITS_2002,ALL_PERMITS_2003,ALL_PERMITS_2004,ALL_PERMITS_2005,ALL_PERMITS_2006,ALL_PERMITS_2007,ALL_PERMITS_2008,ALL_PERMITS_2009,ALL_PERMITS_2010,ALL_PERMITS_2011,ALL_PERMITS_2012,ALL_PERMITS_2013,ALL_PERMITS_2014,ALL_PERMITS_2015,ALL_PERMITS_2016,ALL_PERMITS_2017,ALL_PERMITS_2018,ALL_PERMITS_2019,ALL_PERMITS_2020,ALL_PERMITS_2021,ALL_PERMITS_2022
Putnam,57,65,75,64,108,136,156,158,66,97,168,129,,170000,175000,189000,170450,188950,202400,218950,242950,270450,305000,362450,412500,616,708,786,868,871,920,874,930,1128,1130,891,769,,126750,132950,133000,135350,144000,159950,165000,169265,199250,235000,275000,280000,880,47141,47,141,TN,Tennessee,209.0,58.0,81.0,184.0,211.0,268.0,383.0,277.0,355.0,193.0,173.0,171.0,224.0,235.0,434.0,388.0,253.0,174.0,114.0,164.0,243.0,111.0,469.0,615.0,512.0,715.0,604.0,510.0,563.0,376.0,282.0,299.0,262.0,282.0,424.0,563.0,720.0,543.0,496.0,552.0,588.0,584,595.0
Rhea,7,12,17,18,24,22,22,22,14,33,37,33,,168000,153000,159900,139600,153700,157000,178950,209750,201250,279900,349999,349000,128,135,154,231,268,266,287,286,362,403,335,256,,121870,125000,120000,122000,130000,140000,145000,149950,180000,195000,235000,256500,1961,47143,47,143,TN,Tennessee,46.0,44.0,5.0,4.0,4.0,16.0,18.0,17.0,18.0,22.0,28.0,22.0,16.0,19.0,13.0,16.0,153.0,114.0,148.0,146.0,122.0,133.0,145.0,197.0,178.0,129.0,160.0,141.0,114.0,63.0,52.0,44.0,44.0,91.0,62.0,12.0,85.0,97.0,101.0,209.0,102.0,122,157.0
Roane,2,1,2,1,2,5,29,99,18,86,132,136,,94250,79900,191250,95000,122500,210000,237900,225000,269200,344995,317840,372507.5,265,277,336,444,503,556,615,608,791,885,770,629,,132000,141500,143750,132750,147000,153540,160000,170000,198000,210000,231750,250000,645,47145,47,145,TN,Tennessee,45.0,44.0,39.0,39.0,22.0,13.0,55.0,32.0,27.0,28.0,103.0,85.0,121.0,121.0,63.0,43.0,53.0,42.0,56.0,53.0,34.0,32.0,42.0,68.0,62.0,55.0,290.0,217.0,31.0,92.0,15.0,63.0,15.0,9.0,7.0,8.0,6.0,8.0,103.0,108.0,142.0,151,137.0
Robertson,46,36,77,88,126,168,177,181,51,541,530,468,,152795,159975,198000,209752,244950,248610,249900,270000,274900,328485,389945,374945,471,669,651,900,1012,1082,876,1018,1185,1004,995,829,,147000,152500,160000,160000,175050,185000,200000,225000,255000,285000,340000,335000,244,47147,47,147,TN,Tennessee,114.0,83.0,63.0,254.0,295.0,267.0,375.0,466.0,426.0,302.0,336.0,292.0,302.0,557.0,597.0,815.0,947.0,604.0,762.0,807.0,610.0,677.0,655.0,617.0,533.0,668.0,690.0,526.0,269.0,178.0,159.0,142.0,133.0,207.0,243.0,277.0,370.0,718.0,387.0,520.0,726.0,937,831.0
Rutherford,826,1090,565,1627,1822,2266,2212,2338,1011,3133,2204,2382,,195000,214900,234900,236000,260970,281938,305158,310000,329000,365000,474078,445223,2018,3558,3752,5037,5685,5313,5203,5481,6154,6210,5373,3763,,149125,149000,155500,165000,181000,209000,225400,244000,270000,324000,380000,375000,253,47149,47,149,TN,Tennessee,1019.0,873.0,899.0,1463.0,1856.0,1537.0,2442.0,2499.0,1877.0,1749.0,1437.0,1542.0,1676.0,1960.0,2561.0,3250.0,4127.0,2460.0,3024.0,3222.0,3486.0,3427.0,3118.0,3550.0,5590.0,5011.0,4078.0,3078.0,2566.0,1093.0,1123.0,866.0,1959.0,3057.0,2744.0,3557.0,2826.0,3569.0,3971.0,3888.0,3520.0,3963,2456.0
Scott,2,3,2,9,4,8,5,12,2,10,10,10,,128750,100000,154434.5,132000,169250,162500,179900,160250,108500,227500,292500,351423,33,39,61,67,92,79,85,116,129,129,114,106,,70000,63000,73000,89500,84299.5,92300,110000,90000,144900,150000,162500,161000,2143,47151,47,151,TN,Tennessee,2.0,7.0,67.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,6.0,11.0,5.0,20.0,4.0,4.0,4.0,0.0,4.0,10.0,19.0,13.0,9.0,8.0,8.0,7.0,3.0,6.0,3.0,2.0,3.0,4.0,4.0,3.0,9.0,6.0,3.0,8,16.0
Sequatchie,2,1,0,3,1,5,5,11,6,17,23,28,,114750,147500,,90900,250000,160000,174900,185840,223750,269000,292000,332000,81,74,67,97,137,118,145,131,188,216,180,131,,139900,117750,125000,133900,140000,142950,137000,142000,169975,229950,200000,240500,878,47153,47,153,TN,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,5.0,9.0,14.0,26.0,33.0,18.0,16.0,23.0,13.0,11.0,9.0,24.0,13.0,18.0,20.0,31.0,18.0,21.0,15.0,8.0,9.0,7.0,3.0,4.0,6.0,10.0,8.0,13.0,11,12.0
Sevier,49,80,124,111,172,181,169,260,35,201,149,140,,154900,146387.5,142322.5,158500,187450,200000,210910,232260,251000,325000,380380,402150,794,772,757,1011,1151,1329,1160,1214,1336,1417,1207,805,,150900,155000,151500,155000,170000,174000,186250,200000,240000,290000,340000,349900,1004,47155,47,155,TN,Tennessee,98.0,213.0,222.0,446.0,421.0,354.0,326.0,219.0,251.0,138.0,263.0,138.0,227.0,175.0,203.0,390.0,434.0,251.0,396.0,487.0,485.0,455.0,605.0,580.0,570.0,838.0,836.0,520.0,349.0,141.0,120.0,198.0,155.0,94.0,248.0,319.0,471.0,801.0,1040.0,1654.0,1155.0,1069,1494.0
Shelby,639,741,152,139,793,681,736,731,175,113,695,686,,231615,236368,233190,269950,282000,307500,326267,352250,395100,388000,504450,475000,4838,5961,6488,7483,7899,8444,9039,10098,11158,12006,10462,8413,,158212,165000,170000,177000,177000,177000,194000,200000,230000,260000,275000,270000,980,47157,47,157,TN,Tennessee,3511.0,1685.0,2163.0,4672.0,7693.0,8812.0,6991.0,6307.0,5956.0,6395.0,4217.0,3975.0,4823.0,5221.0,4892.0,6118.0,6507.0,4175.0,5094.0,6842.0,6734.0,4760.0,5336.0,5510.0,5526.0,5716.0,5118.0,4325.0,1550.0,894.0,1548.0,1400.0,2325.0,2172.0,1516.0,2325.0,2338.0,1692.0,2251.0,1255.0,1878.0,2059,1870.0
Smith,6,4,6,4,7,19,29,22,10,26,28,36,,129400,152850,104950,139382.5,142000,174900,191800,205450,214750,269900,315000,328950,212,294,173,195,233,262,242,196,272,238,246,203,,91750,90000,97000,99300,122000,119250,139450,160750,174950,203000,238000,240900,1223,47159,47,159,TN,Tennessee,10.0,4.0,23.0,27.0,18.0,36.0,6.0,39.0,56.0,65.0,62.0,81.0,57.0,74.0,93.0,67.0,84.0,124.0,54.0,75.0,55.0,73.0,73.0,70.0,26.0,163.0,81.0,97.0,62.0,37.0,47.0,25.0,33.0,30.0,66.0,41.0,62.0,69.0,77.0,75.0,101.0,124,126.0
Stewart,0,5,3,1,1,4,8,3,1,5,5,13,,,135000,194500,146000,149000,179950,138100,120000,274950,265000,330000,362000,88,104,98,98,105,140,156,151,135,204,167,121,,120000,115000,114450,117750,118000,132400,134750,115000,145000,160000,180000,200000,563,47161,47,161,TN,Tennessee,6.0,5.0,8.0,11.0,5.0,52.0,4.0,11.0,7.0,7.0,6.0,5.0,3.0,2.0,2.0,5.0,3.0,5.0,4.0,10.0,3.0,3.0,4.0,4.0,10.0,26.0,22.0,15.0,10.0,2.0,4.0,1.0,2.0,4.0,18.0,0.0,15.0,4.0,6.0,7.0,2.0,3,9.0
Sullivan,84,90,111,80,75,90,109,120,90,213,200,320,,187400,189900,225000,219450,260000,239405,254900,274225,265553,270000,316890,346100,1096,1174,1240,1580,1903,2164,2179,2084,2678,2937,2439,1996,,128500,130000,127250,128825,129900,130000,140000,149175,160000,174900,199900,220000,651,47163,47,163,TN,Tennessee,436.0,146.0,224.0,241.0,672.0,255.0,344.0,204.0,242.0,221.0,539.0,569.0,771.0,709.0,871.0,884.0,748.0,723.0,727.0,715.0,457.0,611.0,738.0,664.0,700.0,776.0,906.0,774.0,364.0,351.0,294.0,194.0,289.0,281.0,249.0,514.0,753.0,571.0,333.0,395.0,482.0,374,600.0
Sumner,403,623,605,755,992,1044,940,944,412,1007,1060,1226,,221500,246445,255070,269900,283003,307032,311648,334322,349435,372916,429746.5,449895,1399,2047,2418,2875,3197,3309,2893,3105,3833,4114,3486,2409,,172900,181000,190000,198900,218000,239999,255000,270000,301175,349900,410000,405000,245,47165,47,165,TN,Tennessee,712.0,455.0,460.0,1438.0,1841.0,1505.0,1411.0,1186.0,1065.0,663.0,1038.0,605.0,756.0,809.0,1315.0,1087.0,1175.0,1214.0,1593.0,1847.0,878.0,1400.0,1216.0,1209.0,1600.0,1818.0,1705.0,1357.0,843.0,566.0,454.0,422.0,592.0,813.0,869.0,1074.0,1341.0,2368.0,1728.0,1416.0,1980.0,1842,1968.0
Tipton,44,52,57,49,75,90,100,121,21,173,138,117,,219250,260000,259900,248200,262300,276210,284000,278000,259900,281990,350000,377966,324,374,474,553,664,717,759,765,987,981,830,710,,125500,139450,138250,132900,145000,150000,159000,169900,189000,205000,237750,240000,1193,47167,47,167,TN,Tennessee,224.0,19.0,30.0,44.0,121.0,109.0,72.0,137.0,178.0,311.0,341.0,451.0,503.0,591.0,506.0,524.0,458.0,469.0,604.0,681.0,483.0,503.0,660.0,512.0,606.0,626.0,557.0,394.0,177.0,300.0,100.0,61.0,91.0,114.0,138.0,105.0,155.0,159.0,183.0,172.0,233.0,263,177.0
Trousdale,3,4,6,13,21,35,30,36,5,50,42,54,,146400,200750,135900,163858,151100,180000,199450,229655,249900,284993,337400,376500,38,56,67,88,72,114,86,124,141,120,137,111,,93250,120000,99900,118700,130500,136500,162500,180500,209900,249950,300000,294900,664,47169,47,169,TN,Tennessee,36.0,36.0,22.0,30.0,17.0,25.0,18.0,26.0,62.0,32.0,48.0,44.0,26.0,72.0,32.0,28.0,50.0,51.0,19.0,21.0,19.0,20.0,22.0,59.0,41.0,44.0,74.0,55.0,26.0,23.0,10.0,24.0,16.0,28.0,45.0,69.0,57.0,88.0,125.0,98.0,83.0,105,124.0
Unicoi,2,0,1,4,3,3,2,0,,3,1,10,,187000,,113900,162000,139900,205000,138000,,,239900,54900,392000,110,111,110,262,158,172,172,188,204,227,214,139,,115450,114000,123750,119250,122000,115000,125000,141000,149000,165000,189000,200000,2227,47171,47,171,TN,Tennessee,7.0,8.0,61.0,15.0,3.0,6.0,4.0,10.0,52.0,8.0,10.0,6.0,6.0,6.0,2.0,13.0,17.0,14.0,20.0,16.0,8.0,13.0,6.0,74.0,28.0,8.0,6.0,14.0,6.0,9.0,15.0,2.0,59.0,7.0,8.0,4.0,18.0,9.0,7.0,4.0,14.0,7,30.0
Union,6,11,9,12,15,35,38,43,12,33,26,23,,153450,139464,134000,181000,144000,146000,153350,163500,177450,213000,286500,320000,64,81,118,139,141,169,153,147,197,198,170,143,,109700,115500,129250,119500,139000,135000,140000,150000,186000,200500,259000,265000,1097,47173,47,173,TN,Tennessee,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,32.0,65.0,57.0,60.0,134.0,133.0,172.0,132.0,125.0,111.0,106.0,162.0,117.0,133.0,155.0,319.0,131.0,78.0,58.0,76.0,45.0,67.0,49.0,50.0,64.0,78.0,97.0,100.0,96.0,97.0,123,117.0
Van Buren,1,0,0,2,1,2,0,1,,5,15,20,,279900,,,104500,113000,274950,,126500,,357920,336664,404841.5,31,28,42,30,41,45,44,60,67,61,72,67,,89500,135000,89500,114450,116500,126000,101000,147000,139900,150000,200000,172000,282,47175,47,175,TN,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,2,6.0
Warren,9,6,7,9,9,12,24,35,17,49,69,78,,97500,127450,116900,119500,132200,145000,147758,165000,189000,269900,279900,275000,280,305,306,324,381,432,487,478,507,521,496,413,,84000,87000,92500,83875,99500,108950,115000,134900,153500,180000,209450,225000,1822,47177,47,177,TN,Tennessee,9.0,8.0,12.0,13.0,22.0,76.0,27.0,24.0,89.0,96.0,52.0,48.0,48.0,62.0,41.0,63.0,82.0,111.0,77.0,153.0,59.0,31.0,20.0,31.0,78.0,29.0,29.0,37.0,124.0,13.0,9.0,42.0,40.0,55.0,52.0,52.0,70.0,77.0,88.0,105.0,115.0,316,260.0
Washington,124,134,106,166,147,183,215,227,60,281,324,295,,196962,223950,228450.5,228330,272500,275000,253000,259900,299650,310000,395000,408000,1107,1082,1346,1524,1768,1868,1934,2043,2298,2541,1987,1549,,154500,155000,151350,149950,157000,159650,165000,170000,195000,214900,249600,280000,1523,47179,47,179,TN,Tennessee,535.0,374.0,358.0,227.0,175.0,170.0,253.0,194.0,257.0,243.0,220.0,304.0,374.0,511.0,410.0,480.0,541.0,563.0,561.0,341.0,483.0,346.0,711.0,850.0,773.0,970.0,1247.0,761.0,909.0,398.0,598.0,317.0,490.0,744.0,654.0,575.0,355.0,574.0,501.0,587.0,880.0,632,823.0
Wayne,0,0,0,1,0,0,0,1,,,,2,,,,,70000,,,,183000,,,,170000,49,61,55,77,80,91,100,96,119,141,144,92,,71000,71000,65000,70000,74100,58000,73000,72500,85000,110000,120000,130000,1304,47181,47,181,TN,Tennessee,4.0,3.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,49.0,80.0,3.0,3.0,58.0,9.0,6.0,1.0,1.0,4.0,2.0,26.0,11.0,22.0,26.0,9.0,11.0,4.0,1.0,3.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0
Weakley,8,12,10,10,6,7,3,6,5,6,12,15,,126500,132500,135400,137250,180700,185000,158000,236000,223000,194500,285000,167500,209,218,220,244,264,285,313,335,359,413,350,255,,84000,76000,85600,79950,86250,90000,89900,89900,119700,126500,140000,146500,1084,47183,47,183,TN,Tennessee,69.0,29.0,53.0,23.0,83.0,43.0,24.0,33.0,38.0,48.0,54.0,44.0,89.0,189.0,202.0,205.0,170.0,190.0,192.0,222.0,136.0,141.0,108.0,71.0,102.0,111.0,92.0,81.0,65.0,52.0,58.0,35.0,36.0,53.0,33.0,23.0,37.0,41.0,55.0,48.0,61.0,64,63.0
White,27,27,14,10,14,24,38,24,15,50,67,85,,119000,139000,131000,154850,162000,163730,154250,190025,190000,264900,292500,284900,179,210,228,277,266,271,292,320,375,321,342,289,,87500,90000,96700,106000,104900,117500,121725,143000,149900,176500,211000,215500,283,47185,47,185,TN,Tennessee,8.0,56.0,41.0,7.0,70.0,9.0,3.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,18.0,37.0,9.0,11.0,13.0,16.0,38.0,11.0,4.0,5.0,8.0,14.0,10.0,11.0,17.0,7.0,51.0,5.0,5.0,88.0,85.0,87.0,103.0,114.0,138.0,158.0,159.0,192,195.0
Williamson,1115,1440,1497,1720,1784,1794,1956,1604,588,1621,1116,1277,,389900,398412.5,412185,414707,454903,490124,525847,569732,615000,700626,924450,1033211,2792,3574,3663,4071,4046,4203,4154,4462,4714,4842,3559,2937,,317000,332900,346500,374500,395000,422900,447250,475000,515500,650000,800000,775000,2111,47187,47,187,TN,Tennessee,538.0,324.0,514.0,1003.0,830.0,1213.0,1154.0,898.0,1168.0,885.0,653.0,812.0,1095.0,1311.0,1296.0,1519.0,2407.0,2044.0,1916.0,1721.0,1205.0,1347.0,1560.0,1771.0,1947.0,1941.0,1689.0,1083.0,544.0,450.0,569.0,1061.0,1532.0,1386.0,1902.0,2304.0,2759.0,2859.0,2121.0,2467.0,2284.0,2980,2254.0
Wilson,542,733,728,530,411,973,1079,1003,315,1678,1711,910,,227297.5,265300,304951.5,309900,304172,339900,369900,378500,281100,420530.5,412500,482000,999,1442,1686,1975,2152,2140,2151,2317,3582,2478,2147,1598,,194000,205000,211000,228800,247250,268000,284900,299900,349900,385000,457500,448900,2195,47189,47,189,TN,Tennessee,250.0,158.0,277.0,762.0,545.0,645.0,1057.0,1424.0,738.0,706.0,575.0,457.0,541.0,699.0,821.0,857.0,1345.0,1055.0,1073.0,1125.0,824.0,852.0,945.0,1384.0,1089.0,1428.0,1173.0,1247.0,1135.0,511.0,928.0,677.0,792.0,1086.0,1549.0,1357.0,1381.0,2236.0,1383.0,1912.0,2349.0,2371,2349.0
