COUNTY,2012_NEW_HOMES,2013_NEW_HOMES,2014_NEW_HOMES,2015_NEW_HOMES,2016_NEW_HOMES,2017_NEW_HOMES,2018_NEW_HOMES,2019_NEW_HOMES,2020_NEW_HOMES,2021_NEW_HOMES,2022_NEW_HOMES,2023_NEW_HOMES,Unnamed: 13_x,2012_NEW_HOMES,2013_NEW_HOMES,2014_NEW_HOMES,2015_NEW_HOMES,2016_NEW_HOMES,2017_NEW_HOMES,2018_NEW_HOMES,2019_NEW_HOMES,2020_NEW_HOMES,2021_NEW_HOMES,2022_NEW_HOMES,2023_NEW_HOMES,2012_EXISTING_HOMES,2013_EXISTING_HOMES,2014_EXISTING_HOMES,2015_EXISTING_HOMES,2016_EXISTING_HOMES,2017_EXISTING_HOMES,2018_EXISTING_HOMES,2019_EXISTING_HOMES,2020_EXISTING_HOMES,2021_EXISTING_HOMES,2022_EXISTING_HOMES,2023_EXISTING_HOMES,Unnamed: 13_y,2012_EXISTING_HOMES,2013_EXISTING_HOMES,2014_EXISTING_HOMES,2015_EXISTING_HOMES,2016_EXISTING_HOMES,2017_EXISTING_HOMES,2018_EXISTING_HOMES,2019_EXISTING_HOMES,2020_EXISTING_HOMES,2021_EXISTING_HOMES,2022_EXISTING_HOMES,2023_EXISTING_HOMES,OBJECTID,GEOID,STATE,COUNTY_CODE,STUSAB,STATE_NAME,ALL_PERMITS_1980,ALL_PERMITS_1981,ALL_PERMITS_1982,ALL_PERMITS_1983,ALL_PERMITS_1984,ALL_PERMITS_1985,ALL_PERMITS_1986,ALL_PERMITS_1987,ALL_PERMITS_1988,ALL_PERMITS_1989,ALL_PERMITS_1990,ALL_PERMITS_1991,ALL_PERMITS_1992,ALL_PERMITS_1993,ALL_PERMITS_1994,ALL_PERMITS_1995,ALL_PERMITS_1996,ALL_PERMITS_1997,ALL_PERMITS_1998,ALL_PERMITS_1999,ALL_PERMITS_2000,ALL_PERMITS_2001,ALL_PERMITS_2002,ALL_PERMITS_2003,ALL_PERMITS_2004,ALL_PERMITS_2005,ALL_PERMITS_2006,ALL_PERMITS_2007,ALL_PERMITS_2008,ALL_PERMITS_2009,ALL_PERMITS_2010,ALL_PERMITS_2011,ALL_PERMITS_2012,ALL_PERMITS_2013,ALL_PERMITS_2014,ALL_PERMITS_2015,ALL_PERMITS_2016,ALL_PERMITS_2017,ALL_PERMITS_2018,ALL_PERMITS_2019,ALL_PERMITS_2020,ALL_PERMITS_2021,ALL_PERMITS_2022
DeKalb,4,8,9,6,11,21,30,55,19,42,70,55,,114500,105500,119900,161900,125500,142900,154900,160000,171900,273500,328950,315000,115,117,169,189,217,275,310,226,297,397,343,271,,100000,96000,94500,110000,123900,125000,131750,147950,179900,200000,240000,238500,2480,47041,47,41,TN,Tennessee,87.0,105.0,81.0,77.0,6.0,10.0,16.0,14.0,16.0,14.0,16.0,7.0,5.0,5.0,33.0,30.0,15.0,23.0,7.0,4.0,10.0,9.0,8.0,25.0,25.0,25.0,74.0,25.0,11.0,7.0,6.0,5.0,6.0,54.0,38.0,51.0,62.0,68.0,101.0,109.0,121.0,147,146.0
Dickson,33,37,49,72,100,125,128,207,119,269,224,223,,152500,159900,168275,197450,192500,215000,239900,238365,245500,294900,350000,356855,344,445,544,599,697,678,700,698,898,889,824,666,,128900,130400,135000,140000,154900,170000,189975,200000,230000,257200,303250,316250,2280,47043,47,43,TN,Tennessee,99.0,64.0,115.0,72.0,12.0,30.0,50.0,93.0,80.0,55.0,195.0,146.0,205.0,295.0,271.0,385.0,304.0,298.0,347.0,541.0,314.0,407.0,371.0,242.0,297.0,266.0,352.0,311.0,154.0,107.0,109.0,88.0,146.0,109.0,202.0,211.0,260.0,320.0,356.0,359.0,463.0,617,596.0
Dyer,6,17,13,25,20,11,11,19,6,14,10,20,,145950,174900,215000,193800,178450,220000,159900,174000,94000,204200,303700,331750,258,318,360,355,386,437,387,387,464,471,425,362,,107500,107750,99000,105000,110000,114000,105000,129000,126000,144000,139900,160000,2167,47045,47,45,TN,Tennessee,300.0,276.0,87.0,60.0,114.0,162.0,189.0,329.0,257.0,182.0,152.0,132.0,173.0,182.0,212.0,228.0,292.0,210.0,264.0,235.0,274.0,120.0,138.0,125.0,140.0,90.0,135.0,89.0,68.0,47.0,58.0,48.0,56.0,54.0,56.0,64.0,76.0,64.0,79.0,65.0,66.0,62,63.0
Fayette,89,125,110,147,147,164,146,170,33,343,335,262,,196750,229000,231450,249900,243000,266250,283949,312808,398900,334000,366850,378866,251,317,432,408,508,579,573,601,939,771,596,440,,175000,170000,175950,176900,185000,198900,221500,235000,270500,290000,325000,324625,1074,47047,47,47,TN,Tennessee,86.0,68.0,61.0,75.0,102.0,102.0,171.0,169.0,175.0,137.0,170.0,193.0,289.0,195.0,210.0,200.0,218.0,219.0,264.0,233.0,162.0,158.0,152.0,341.0,664.0,708.0,670.0,660.0,277.0,119.0,159.0,125.0,187.0,210.0,235.0,236.0,360.0,315.0,328.0,406.0,510.0,490,459.0
Fentress,10,5,7,4,11,11,14,24,14,55,54,65,,108250,119900,114000,122000,120000,119000,133700,155500,162000,222000,307500,320000,72,94,130,121,149,171,142,162,243,219,198,170,,89950,89950,96900,87700,103629,109000,114500,125000,148500,150000,192444.5,220000,881,47049,47,49,TN,Tennessee,1.0,59.0,5.0,29.0,12.0,13.0,32.0,2.0,1.0,1.0,33.0,5.0,44.0,18.0,4.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Franklin,14,22,26,22,27,34,62,59,45,169,177,107,,121900,120950,129000,162652.5,152500,172450,195079,206500,310190,325215,451050,312000,261,319,353,451,487,519,583,568,768,716,603,526,,121000,115000,126000,132210,133000,140900,150000,160500,206000,215500,254000,267000,660,47051,47,51,TN,Tennessee,58.0,25.0,26.0,45.0,70.0,41.0,80.0,62.0,71.0,58.0,156.0,191.0,192.0,329.0,280.0,303.0,375.0,379.0,322.0,322.0,306.0,247.0,304.0,261.0,294.0,252.0,283.0,254.0,164.0,122.0,85.0,125.0,100.0,96.0,110.0,127.0,139.0,208.0,211.0,219.0,302.0,420,375.0
Gibson,53,60,48,42,46,40,35,48,2,98,94,86,,148000,149450,164900,187400,209950,225950,259900,239950,250750,252100,329900,341750,356,401,422,468,489,612,608,665,794,866,709,557,,91000,106900,92810,99250,105000,97475,105000,109900,137350,130000,155000,165000,1933,47053,47,53,TN,Tennessee,45.0,24.0,89.0,36.0,144.0,74.0,40.0,53.0,93.0,57.0,148.0,165.0,141.0,137.0,164.0,149.0,153.0,162.0,218.0,214.0,151.0,166.0,172.0,180.0,246.0,285.0,382.0,279.0,180.0,157.0,132.0,161.0,104.0,171.0,108.0,98.0,95.0,93.0,109.0,145.0,165.0,194,150.0
Giles,3,6,8,10,12,8,23,18,4,36,27,26,,99000,154500,120600,137194.5,137500,143750,149900,152500,230750,199950,298000,279900,158,176,201,238,222,274,263,240,268,318,385,275,,76250,92250,94000,96750,109700,103000,125000,137000,142250,169900,189900,215000,1220,47055,47,55,TN,Tennessee,10.0,17.0,12.0,23.0,23.0,82.0,6.0,8.0,22.0,24.0,18.0,24.0,49.0,43.0,27.0,66.0,51.0,48.0,26.0,26.0,49.0,105.0,10.0,16.0,58.0,14.0,17.0,16.0,13.0,10.0,5.0,4.0,8.0,59.0,68.0,68.0,79.0,95.0,103.0,104.0,123.0,178,165.0
Grainger,1,3,4,9,9,15,8,6,8,23,24,35,,150000,161000,136000,160000,154100,170000,169900,176250,182400,235700,312450,324900,88,96,98,107,96,130,121,143,228,247,229,181,,114200,123850,138000,139200,137000,134750,134900,155000,169200,194000,217000,234500,646,47057,47,57,TN,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,5.0,6.0,2.0,2.0,0.0,0.0,46.0,47.0,37.0,41.0,47.0,58.0,57.0,66.0,82,69.0
Greene,12,15,13,16,22,31,36,56,20,69,76,121,,151400,169000,147000,165000,193250,155000,202450,221500,238500,260000,315000,319000,281,369,481,546,605,620,617,702,844,824,838,705,,110000,116000,111073,110000,113000,119209,128000,132950,149950,161750,200000,225000,2814,47059,47,59,TN,Tennessee,205.0,105.0,71.0,205.0,177.0,183.0,179.0,183.0,121.0,174.0,116.0,112.0,168.0,218.0,258.0,274.0,348.0,356.0,291.0,310.0,282.0,279.0,297.0,348.0,393.0,489.0,378.0,292.0,185.0,122.0,136.0,107.0,128.0,143.0,94.0,105.0,127.0,132.0,171.0,137.0,210.0,260,237.0
