OBJECTID,GEOID,STATE,COUNTY,NAME,STUSAB,STATE_NAME,ALL_PERMITS_1980,ALL_PERMITS_1981,ALL_PERMITS_1982,ALL_PERMITS_1983,ALL_PERMITS_1984,ALL_PERMITS_1985,ALL_PERMITS_1986,ALL_PERMITS_1987,ALL_PERMITS_1988,ALL_PERMITS_1989,ALL_PERMITS_1990,ALL_PERMITS_1991,ALL_PERMITS_1992,ALL_PERMITS_1993,ALL_PERMITS_1994,ALL_PERMITS_1995,ALL_PERMITS_1996,ALL_PERMITS_1997,ALL_PERMITS_1998,ALL_PERMITS_1999,ALL_PERMITS_2000,ALL_PERMITS_2001,ALL_PERMITS_2002,ALL_PERMITS_2003,ALL_PERMITS_2004,ALL_PERMITS_2005,ALL_PERMITS_2006,ALL_PERMITS_2007,ALL_PERMITS_2008,ALL_PERMITS_2009,ALL_PERMITS_2010,ALL_PERMITS_2011,ALL_PERMITS_2012,ALL_PERMITS_2013,ALL_PERMITS_2014,ALL_PERMITS_2015,ALL_PERMITS_2016,ALL_PERMITS_2017,ALL_PERMITS_2018,ALL_PERMITS_2019,ALL_PERMITS_2020,ALL_PERMITS_2021,ALL_PERMITS_2022
645,47145,47,145,Roane,TN,Tennessee,45.0,44.0,39.0,39.0,22.0,13.0,55.0,32.0,27.0,28.0,103.0,85.0,121.0,121.0,63.0,43.0,53.0,42.0,56.0,53.0,34.0,32.0,42.0,68.0,62.0,55.0,290.0,217.0,31.0,92.0,15.0,63.0,15.0,9.0,7.0,8.0,6.0,8.0,103.0,108.0,142.0,151,137.0
646,47057,47,57,Grainger,TN,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,5.0,6.0,2.0,2.0,0.0,0.0,46.0,47.0,37.0,41.0,47.0,58.0,57.0,66.0,82,69.0
651,47163,47,163,Sullivan,TN,Tennessee,436.0,146.0,224.0,241.0,672.0,255.0,344.0,204.0,242.0,221.0,539.0,569.0,771.0,709.0,871.0,884.0,748.0,723.0,727.0,715.0,457.0,611.0,738.0,664.0,700.0,776.0,906.0,774.0,364.0,351.0,294.0,194.0,289.0,281.0,249.0,514.0,753.0,571.0,333.0,395.0,482.0,374,600.0
660,47051,47,51,Franklin,TN,Tennessee,58.0,25.0,26.0,45.0,70.0,41.0,80.0,62.0,71.0,58.0,156.0,191.0,192.0,329.0,280.0,303.0,375.0,379.0,322.0,322.0,306.0,247.0,304.0,261.0,294.0,252.0,283.0,254.0,164.0,122.0,85.0,125.0,100.0,96.0,110.0,127.0,139.0,208.0,211.0,219.0,302.0,420,375.0
664,47169,47,169,Trousdale,TN,Tennessee,36.0,36.0,22.0,30.0,17.0,25.0,18.0,26.0,62.0,32.0,48.0,44.0,26.0,72.0,32.0,28.0,50.0,51.0,19.0,21.0,19.0,20.0,22.0,59.0,41.0,44.0,74.0,55.0,26.0,23.0,10.0,24.0,16.0,28.0,45.0,69.0,57.0,88.0,125.0,98.0,83.0,105,124.0
666,47133,47,133,Overton,TN,Tennessee,11.0,5.0,49.0,9.0,7.0,4.0,8.0,7.0,9.0,8.0,10.0,6.0,10.0,11.0,7.0,5.0,5.0,32.0,5.0,3.0,3.0,10.0,2.0,1.0,11.0,6.0,4.0,18.0,1.0,1.0,4.0,3.0,5.0,1.0,3.0,3.0,3.0,2.0,5.0,13.0,11.0,8,31.0
809,47131,47,131,Obion,TN,Tennessee,88.0,31.0,44.0,112.0,131.0,202.0,105.0,113.0,92.0,147.0,86.0,67.0,68.0,102.0,98.0,121.0,117.0,112.0,104.0,143.0,87.0,48.0,70.0,66.0,67.0,47.0,55.0,35.0,32.0,28.0,32.0,15.0,7.0,18.0,11.0,74.0,15.0,12.0,28.0,14.0,20.0,34,24.0
810,47135,47,135,Perry,TN,Tennessee,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,11,12.0
878,47153,47,153,Sequatchie,TN,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,5.0,9.0,14.0,26.0,33.0,18.0,16.0,23.0,13.0,11.0,9.0,24.0,13.0,18.0,20.0,31.0,18.0,21.0,15.0,8.0,9.0,7.0,3.0,4.0,6.0,10.0,8.0,13.0,11,12.0
879,47111,47,111,Macon,TN,Tennessee,16.0,5.0,1.0,3.0,3.0,1.0,43.0,10.0,11.0,8.0,6.0,10.0,8.0,19.0,23.0,8.0,14.0,17.0,11.0,12.0,18.0,22.0,24.0,21.0,47.0,28.0,49.0,31.0,70.0,22.0,28.0,67.0,15.0,62.0,7.0,78.0,14.0,15.0,19.0,2.0,177.0,110,136.0
